NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
"PARIS MONTSOURIS, FR",2/4/1984,,,46,53,42
"PARIS MONTSOURIS, FR",3/16/1984,,,42,54,36
"PARIS MONTSOURIS, FR",3/17/1984,,,39,49,34
"PARIS MONTSOURIS, FR",3/18/1984,,,42,49,35
"PARIS MONTSOURIS, FR",3/19/1984,,,44,51,35
"PARIS MONTSOURIS, FR",3/20/1984,,,45,55,36
"PARIS MONTSOURIS, FR",3/21/1984,,,48,57,37
"PARIS MONTSOURIS, FR",3/22/1984,,,49,57,39
"PARIS MONTSOURIS, FR",3/23/1984,,,50,58,39
"PARIS MONTSOURIS, FR",3/24/1984,,,46,58,45
"PARIS MONTSOURIS, FR",3/25/1984,,,45,51,40
"PARIS MONTSOURIS, FR",3/26/1984,,,46,51,42
"PARIS MONTSOURIS, FR",3/27/1984,,,46,52,42
"PARIS MONTSOURIS, FR",3/28/1984,,,50,55,45
"PARIS MONTSOURIS, FR",3/30/1984,,,47,55,39
"PARIS MONTSOURIS, FR",3/31/1984,,,48,56,40
"PARIS MONTSOURIS, FR",4/1/1984,,,39,53,
"PARIS MONTSOURIS, FR",4/2/1984,,,39,45,34
"PARIS MONTSOURIS, FR",4/4/1984,,,44,50,36
"PARIS MONTSOURIS, FR",4/5/1984,,,42,50,40
"PARIS MONTSOURIS, FR",4/6/1984,,,42,45,39
"PARIS MONTSOURIS, FR",4/7/1984,,,45,49,43
"PARIS MONTSOURIS, FR",4/8/1984,,,45,49,42
"PARIS MONTSOURIS, FR",4/9/1984,,,47,52,40
"PARIS MONTSOURIS, FR",4/10/1984,,,44,53,39
"PARIS MONTSOURIS, FR",4/11/1984,,,46,54,38
"PARIS MONTSOURIS, FR",4/12/1984,,,51,56,45
"PARIS MONTSOURIS, FR",4/13/1984,,,52,61,40
"PARIS MONTSOURIS, FR",4/14/1984,,,58,70,43
"PARIS MONTSOURIS, FR",4/15/1984,,,60,70,49
"PARIS MONTSOURIS, FR",4/17/1984,,,50,57,40
"PARIS MONTSOURIS, FR",4/18/1984,,,54,61,41
"PARIS MONTSOURIS, FR",4/20/1984,,,62,70,48
"PARIS MONTSOURIS, FR",4/21/1984,,,67,78,50
"PARIS MONTSOURIS, FR",4/22/1984,,,69,,53
"PARIS MONTSOURIS, FR",4/23/1984,,,69,79,55
"PARIS MONTSOURIS, FR",4/24/1984,,,68,78,54
"PARIS MONTSOURIS, FR",4/25/1984,,,64,77,55
"PARIS MONTSOURIS, FR",4/26/1984,,,67,77,52
"PARIS MONTSOURIS, FR",4/27/1984,,,63,77,49
"PARIS MONTSOURIS, FR",4/28/1984,,,59,72,47
"PARIS MONTSOURIS, FR",4/29/1984,,,53,67,43
"PARIS MONTSOURIS, FR",4/30/1984,,,57,65,43
"PARIS MONTSOURIS, FR",5/1/1984,,,58,66,45
"PARIS MONTSOURIS, FR",5/2/1984,,,52,66,49
"PARIS MONTSOURIS, FR",5/4/1984,,,59,64,49
"PARIS MONTSOURIS, FR",5/5/1984,,,61,68,50
"PARIS MONTSOURIS, FR",5/6/1984,,,57,68,50
"PARIS MONTSOURIS, FR",5/7/1984,,,44,63,
"PARIS MONTSOURIS, FR",5/8/1984,,,48,56,40
"PARIS MONTSOURIS, FR",5/9/1984,,,50,56,40
"PARIS MONTSOURIS, FR",5/10/1984,,,50,56,41
"PARIS MONTSOURIS, FR",5/12/1984,,,48,54,44
"PARIS MONTSOURIS, FR",5/13/1984,,,49,54,46
"PARIS MONTSOURIS, FR",5/14/1984,,,49,51,47
"PARIS MONTSOURIS, FR",5/16/1984,,,56,62,50
"PARIS MONTSOURIS, FR",5/17/1984,,,57,63,50
"PARIS MONTSOURIS, FR",5/18/1984,,,59,68,43
"PARIS MONTSOURIS, FR",5/19/1984,,,53,68,50
"PARIS MONTSOURIS, FR",5/20/1984,,,56,65,50
"PARIS MONTSOURIS, FR",5/21/1984,,,49,65,47
"PARIS MONTSOURIS, FR",5/22/1984,,,55,61,50
"PARIS MONTSOURIS, FR",5/23/1984,,,58,65,43
"PARIS MONTSOURIS, FR",5/24/1984,,,58,65,49
